Code,Section Name,Guidance,Sample
GRI 101-1,,,"ABC Systems Holdings Ltd is a publicly listed company on the Singapore Exchange (SGX), specializing in providing cutting-edge IT solutions and services. Established under the laws of Singapore, the company is headquartered in Singapore and has expanded its operations across multiple international markets.

ABC offers a diverse portfolio of software solutions, including digital governance platforms, document management systems, and AI-driven business applications. The company primarily serves government agencies, financial institutions, and enterprises, helping them enhance operational efficiency and digital transformation. Key subsidiaries under ABC Systems Holdings Ltd further support its global presence, reinforcing its expertise in enterprise solutions.

With a strong foothold in Asia-Pacific, ABC operates in countries such as Singapore, Hong Kong, Malaysia, Indonesia, Thailand, Vietnam, the Philippines, and Australia. The company continues to expand its market reach, catering to both public and private sector clients.

As of its latest financial report, ABC Systems Holdings Ltd reported an annual revenue of [insert figure, if available] and maintains a robust financial position, supporting its long-term growth strategy.

For the most comprehensive and up-to-date corporate and financial information, stakeholders are encouraged to review the company’s latest Annual Report and regulatory filings with the Singapore Exchange (SGX). Direct inquiries to the investor relations department can also provide further insights into the company’s performance and strategic direction."
GRI 101-2,,,"This report covers ABC Systems Pte. Ltd., ABC Systems (USA) Inc., and ABC Systems (Europe) GmbH. The reporting boundary follows an operational control approach, including entities where the company has significant influence over sustainability-related policies and impacts. Notably, ABC Systems (Europe) GmbH is included in sustainability reporting but not in the audited consolidated financial statements due to differences in financial consolidation rules and sustainability disclosure criteria. While financial reporting is governed by accounting regulations, sustainability reporting prioritizes operational impact over financial control.

To ensure data consistency, sustainability information is consolidated across all included entities, with adjustments for minority interests where relevant. Mergers, acquisitions, and disposals are accounted for by retrospectively adjusting data where feasible, maintaining comparability across reporting periods. These adjustments ensure that sustainability disclosures accurately reflect the organization's performance while aligning with GRI Standards."
GRI 101-3,,,"ABC Systems Holdings Ltd.’s sustainability report follows the Global Reporting Initiative (GRI) Standards and covers the period from January 1, 2019, to December 31, 2019, aligning with the company’s financial reporting timeline. The report is published annually, with the latest edition released on August 30, 2020—after the reporting period—to allow for data collection, validation, and review. This ensures the accuracy and reliability of disclosed sustainability information.

For inquiries regarding this report, stakeholders may contact ABC Systems Holdings Ltd. via phone (+852 2893 3673), email ([insert email]), or visit our website ([insert website]). These channels ensure accessibility and transparency in addressing sustainability-related concerns."
GRI 101-4,,,"No restatements of previously reported sustainability information were made for the current reporting period, as all disclosed data remains accurate and consistent with prior reports. If restatements are required in future reports, ABC Systems Holdings Ltd. will provide a clear explanation of the reasons and their impact on reported metrics.

To ensure data accuracy and minimize the need for restatements, the organization follows a rigorous internal review process, which includes cross-departmental validation and quality checks before publication."
GRI 101-5,,,"ABC Systems Holdings Ltd. is committed to enhancing the credibility and reliability of its sustainability reporting through external assurance. While no external assurance was obtained for the 2020 Sustainability Report, the Board of Directors and senior executives continue to evaluate the engagement of an independent assurance provider for future reports, including the financial year ending March 31, 2021. Potential assurance will follow recognized ESG standards for publicly listed companies in Singapore, such as the Singapore Exchange (SGX) Sustainability Reporting Guide and the ISCA Sustainability Reporting Framework, ensuring alignment with best practices. Stakeholders are encouraged to provide feedback to support continuous improvement. For inquiries or suggestions, please contact ABC Systems Holdings Ltd. via email ([insert email]), website ([insert website]), or phone (+852 2893 3673)."
GRI 302-1,302-1 Energy consumption within the organization,"a. Total fuel consumption within the organization from non-renewable sources, in joules or multiples, and including fuel types used. 
b. Total fuel consumption within the organization from renewable sources, in joules or multiples, and including fuel types used. 
c. In joules, watt-hours or multiples, the total:
i. electricity consumption;
ii. heating consumption;
iii. cooling consumption; and
iv. steam consumption 
d. In joules, watt-hours or multiples, the total:
i. electricity sold;
ii. heating sold;
iii. cooling sold; and
iv. steam sold 
e. Total energy consumption within the organization, in joules or multiples.
f. Standards, methodologies, assumptions, and/or calculation tools used.
g. Source of the conversion factors used","Energy consumption is a critical aspect of our organization’s environmental impact. While comprehensive data on energy use is not currently available, we recognize the importance of tracking and managing our consumption to enhance sustainability and operational efficiency.

Total Energy Consumption

The total energy consumption within the organization for the fiscal years FY2020, FY2019, and FY2018 was recorded as follows:

FY2020: 1,314 GJ

FY2019: 1,310 GJ

FY2018: 1,441 GJ

These figures reflect the aggregate energy usage; however, further disaggregation into specific energy sources and uses is not available at this time.

To enhance transparency and support sustainability initiatives, the organization aims to improve data collection processes and provide a more detailed breakdown of energy consumption in future reporting cycles. Additionally, the organization is in the process of implementing a software system to collect energy consumption data. This initiative is expected to enhance data accuracy and reporting, enabling informed decision-making and improved energy management."
GRI 302-2,302-2 Energy consumption outside of the organization,"a. Energy consumption outside of the organization, in joules or multiples.
b. Standards, methodologies, assumptions, and/or calculation tools used
c. Source of the conversion factors used.","For the fiscal year 2020, ABC Systems Holdings Ltd.'s energy consumption outside the organization totaled 1,314 gigajoules (GJ). This includes energy used for business travel, employee commuting, and outsourced data center operations, which contribute significantly to the organization’s external energy footprint. Energy consumption data was collected from utility bills, fuel receipts, and service provider reports, ensuring alignment with GRI 302: Energy 2016 for consistency and comparability. Standard conversion factors from the International Energy Agency (IEA) were applied to harmonize energy units across various sources and regions.

Compared to fiscal year 2019, when external energy consumption totaled 1,280 GJ, there was a 2.7% increase, primarily driven by higher reliance on outsourced IT infrastructure to support remote operations. Where direct consumption data was unavailable, estimates were made using historical consumption patterns and industry benchmarks, with clear documentation of assumptions used. Moving forward, the company aims to enhance data accuracy by working more closely with energy providers and implementing automated tracking systems."
GRI 302-3,302-3 Energy intensity,"a. Energy intensity ratio for the organization. 
b. Organization-specific metric (the denominator) chosen to calculate the ratio. 
c. Types of energy included in the intensity ratio; whether fuel, electricity, heating, cooling, steam, or all.
d. Whether the ratio uses energy consumption within the organization, outside of it, or both.","For FY2020, ABC Systems Holdings Ltd.’s energy intensity ratio was 0.0010 GJ per USD of revenue, calculated by dividing total energy consumption (1,314 GJ) by total revenue in USD. This ratio includes electricity, heating, and cooling across operations in Hong Kong, the Philippines, and the United Kingdom. The slight improvement from 0.0011 GJ per USD in FY2019 was primarily driven by energy efficiency measures in office spaces and a shift toward remote work, reducing in-office energy use. Where regional revenue data was unavailable, estimates were made based on historical financial trends to ensure a consistent calculation. To further refine accuracy, ABC plans to track energy use by office location and implement a centralized energy management system for more precise monitoring and reduction of consumption."
GRI 302-4,302-4 Reduction of energy consumption,"a. Amount of reductions in energy consumption achieved as a direct result of conservation and efficiency initiatives, in joules or multiples.
b. Types of energy included in the reductions; whether fuel, electricity, heating, cooling, steam, or all.
c. Basis for calculating reductions in energy consumption, such as base year or baseline, including the rationale for choosing it.
d. Standards, methodologies, assumptions, and/or calculation tools used.","In fiscal year 2020, ABC Systems Holdings Ltd. achieved an absolute reduction in energy consumption of 126 GJ, representing a 8.75% decrease from FY2019. This reduction, measured against the baseline year of FY2018, includes electricity, heating, and cooling across all operational locations. The decline was driven by efficiency initiatives, such as replacing fluorescent lights with LED systems in the Philippines office, implementing automated power management for office equipment, and optimizing the use of natural light to reduce electricity consumption. Energy reductions were calculated using GHG Protocol guidelines and ISO 14001 Environmental Management System (EMS) standards in the Hong Kong office. To ensure accuracy, data was verified through regular internal audits and carbon assessments, ensuring a reliable assessment of energy efficiency improvements."
GRI 302-5,302-5 Reduction in energy requirements of products and services,"a. Reductions in energy requirements of sold products and services achieved during the reporting period, in joules or multiples.
b. Basis for calculating reductions in energy consumption, such as base year or baseline, including the rationale for choosing it.
c. Standards, methodologies, assumptions, and/or calculation tools used.","During the reporting period, ABC Systems Holdings Ltd. achieved an absolute reduction of 126 GJ in the energy requirements of its software solutions and IT services, compared to the previous year. This reduction, measured against a FY2018 baseline, was primarily driven by server optimization in cloud-based services, enhancements in software efficiency, and reductions in power consumption of IT infrastructure. The energy savings were assessed by comparing pre- and post-implementation consumption levels using GHG Protocol guidelines for consistency and accuracy. To ensure reliability, the calculations assumed uniform implementation of energy-saving measures across all regions, with adjustments made for differences in product deployment and service usage patterns. Data was verified through internal audits and energy assessments, ensuring the reported reductions accurately reflect efficiency improvements."
